요양기관명,종별코드,종별명,시도코드,시도명,시군구코드,시군구명,읍면동,우편번호,주소,전화번호,경도,위도,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,조산사 인원수
리더스내과가정의학과의원,31,의원,110000,서울,110001,강남구,개포동,6303,"서울특별시 강남구 논현로 98, 문화빌딩 2층 (개포동)",02-573-8188,127.0448081,37.4786142,19950113,2,0,0,0,2,0,0,0,0,0,0,0,0,0
포이연치과의원,51,치과의원,110000,서울,110001,강남구,개포동,6307,"서울특별시 강남구 개포로 202, 석인빌딩 302호 (개포동)",02-3463-2877,127.0449992,37.4781815,20060821,1,0,0,0,0,1,0,0,0,0,0,0,0,0
숲한의원,93,한의원,110000,서울,110001,강남구,개포동,6307,"서울특별시 강남구 논현로 82, 봉명빌딩 3층 (개포동)",576-2026,127.0453512,37.4773959,20131212,1,0,0,0,0,0,0,0,0,1,0,0,0,0
아델산부인과의원,31,의원,110000,서울,110001,강남구,개포동,6312,"서울특별시 강남구 논현로 64, 4층 (개포동)",02-578-4412,127.0468937,37.4759149,20040308,1,0,0,0,1,0,0,0,0,0,0,0,0,0
한사랑치과의원,51,치과의원,110000,서울,110001,강남구,개포동,6307,"서울특별시 강남구 개포로 224, 3층 (개포동, 준빌딩)",02-3461-7528,127.0473101,37.4785773,19981020,1,0,0,0,0,1,0,0,0,0,0,0,0,0
조엔소아청소년과의원,31,의원,110000,서울,110001,강남구,개포동,6306,"서울특별시 강남구 개포로 231, 2층 (개포동, 반석빌딩)",02-2057-7582,127.0479597,37.4790142,20150903,1,0,0,0,1,0,0,0,0,0,0,0,0,0
한중한의원,93,한의원,110000,서울,110001,강남구,개포동,6199,"서울특별시 강남구 선릉로 342, (대치동)",02-561-7755,127.051268,37.5004171,19990714,1,0,0,0,0,0,0,0,0,1,0,0,0,0
순수피부과의원,31,의원,110000,서울,110001,강남구,개포동,6289,"서울특별시 강남구 남부순환로 3032, 2층 (대치동, 한보상가 203-5호)",02-575-8008,127.0638482,37.4942482,20030721,1,0,0,0,1,0,0,0,0,0,0,0,0,0
서울윙크치과의원,51,치과의원,110000,서울,110001,강남구,개포동,6331,"서울특별시 강남구 삼성로 14, 205호 (개포동, 개포자이 프레지던스)",02-6739-2000,127.0684271,37.4861492,20230421,1,0,0,0,0,0,0,0,1,0,0,0,0,0
고만성소아과의원,31,의원,110000,서울,110001,강남구,개포동,6335,"서울특별시 강남구 개포로 615, 203호 (개포동)",02-2226-2680,127.0756013,37.4926645,20020801,1,0,0,0,1,0,0,0,0,0,0,0,0,0
김재유내과의원,31,의원,110000,서울,110001,강남구,개포동,6335,"서울특별시 강남구 개포로 615, 305호 (개포동)",02-459-4597,127.0756013,37.4926645,19960311,1,0,0,0,1,0,0,0,0,0,0,0,0,0
신석호정신과의원,31,의원,110000,서울,110001,강남구,개포동,6335,"서울특별시 강남구 개포로 615, 201-1호, 308호 (개포동)",02-2226-2231,127.0756013,37.4926645,19990531,1,0,0,0,1,0,0,0,0,0,0,0,0,0
연세수이비인후과의원,31,의원,110000,서울,110001,강남구,개포동,6335,"서울특별시 강남구 개포로 615, 306호 (개포동, 석탑프라자)",02-445-7593,127.0756013,37.4926645,20020401,1,0,0,0,1,0,0,0,0,0,0,0,0,0
예사랑피부과의원,31,의원,110000,서울,110001,강남구,개포동,6335,"서울특별시 강남구 개포로 615, (개포동, 202호, 203호일부)",02-445-7075,127.0756013,37.4926645,20030218,1,0,0,0,1,0,0,0,0,0,0,0,0,0
일원정형외과의원,31,의원,110000,서울,110001,강남구,개포동,6335,"서울특별시 강남구 개포로 615, 2층 201-2호 (개포동)",02-3411-7856,127.0756013,37.4926645,19960306,1,0,0,0,1,0,0,0,0,0,0,0,0,0
정산부인과의원,31,의원,110000,서울,110001,강남구,개포동,6335,"서울특별시 강남구 개포로 615, 201-3호 (개포동, 석탑프라자)",02-3411-3275,127.0756013,37.4926645,19960202,1,0,0,0,1,0,0,0,0,0,0,0,0,0
제일성모안과의원,31,의원,110000,서울,110001,강남구,개포동,6335,"서울특별시 강남구 개포로 615, 301-1호 (개포동)",02-445-4451,127.0756013,37.4926645,20081219,1,0,0,0,1,0,0,0,0,0,0,0,0,0
푸른소아과의원,31,의원,110000,서울,110001,강남구,개포동,6335,"서울특별시 강남구 개포로 615, 309호 (개포동, 석탑플라자)",02-2226-2669,127.0756013,37.4926645,20030811,1,0,0,0,1,0,0,0,0,0,0,0,0,0
홍순호치과의원,51,치과의원,110000,서울,110001,강남구,논현동,6038,"서울특별시 강남구 강남대로 606, (논현동, 삼주빌딩 7층)",02-3446-2828,127.0201694,37.5158757,19980427,1,0,0,0,0,1,0,0,0,0,0,0,0,0
